point,point_class,proposed_hasTimeseriesId,hasEntityId_TO_CONFIRM,meters
entity:SSC_01-029_Room-No-42_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_029_Room_No_42,entity:SSC_01-029_Room-No-42
entity:SSC_01-029_Room-No-43_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_029_Room_No_43,entity:SSC_01-029_Room-No-43
entity:SSC_01-029_Room-No-43_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_029_Room_No_43,entity:SSC_01-029_Room-No-43
entity:SSC_01-029_Room-No-44_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_029_Room_No_44,entity:SSC_01-029_Room-No-44
entity:SSC_01-029_Room-No-44_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_029_Room_No_44,entity:SSC_01-029_Room-No-44
entity:SSC_01-029_Shell-Space_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_029_Shell_Space,entity:SSC_01-029_Shell-Space
entity:SSC_01-029_Shell-Space_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_029_Shell_Space,entity:SSC_01-029_Shell-Space
entity:SSC_01-030_Storage_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_030_Storage,entity:SSC_01-030_Storage
entity:SSC_01-030_Storage_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_030_Storage,entity:SSC_01-030_Storage
entity:SSC_01-031_Toilet_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_031_Toilet,entity:SSC_01-031_Toilet
entity:SSC_01-031_Toilet_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_031_Toilet,entity:SSC_01-031_Toilet
entity:SSC_01-032_Vestibule_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_032_Vestibule,entity:SSC_01-032_Vestibule
entity:SSC_01-032_Vestibule_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_032_Vestibule,entity:SSC_01-032_Vestibule
entity:SSC_01-033_Janitors-Closet_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_033_Janitors_Closet,entity:SSC_01-033_Janitors-Closet
entity:SSC_01-033_Janitors-Closet_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_033_Janitors_Closet,entity:SSC_01-033_Janitors-Closet
entity:SSC_01-034_Air-Lock_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_034_Air_Lock,entity:SSC_01-034_Air-Lock
entity:SSC_01-034_Air-Lock_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_034_Air_Lock,entity:SSC_01-034_Air-Lock
entity:SSC_01-035_Corridor_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_035_Corridor,entity:SSC_01-035_Corridor
entity:SSC_01-035_Corridor_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_035_Corridor,entity:SSC_01-035_Corridor
entity:SSC_01-036_Outdoor-Area_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_036_Outdoor_Area,entity:SSC_01-036_Outdoor-Area
entity:SSC_01-036_Outdoor-Area_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_036_Outdoor_Area,entity:SSC_01-036_Outdoor-Area
entity:SSC_01-037_Outdoor-Area_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_037_Outdoor_Area,entity:SSC_01-037_Outdoor-Area
entity:SSC_01-037_Outdoor-Area_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_037_Outdoor_Area,entity:SSC_01-037_Outdoor-Area
entity:SSC_01-038_Storage-Area_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_038_Storage_Area,entity:SSC_01-038_Storage-Area
entity:SSC_01-038_Storage-Area_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_038_Storage_Area,entity:SSC_01-038_Storage-Area
entity:SSC_01-039_IDF-2_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_039_IDF_2,entity:SSC_01-039_IDF-2
entity:SSC_01-039_IDF-2_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_039_IDF_2,entity:SSC_01-039_IDF-2
entity:SSC_01-041_Storage-Room_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_041_Storage_Room,entity:SSC_01-041_Storage-Room
entity:SSC_01-041_Storage-Room_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_041_Storage_Room,entity:SSC_01-041_Storage-Room
entity:SSC_01-206_Corridor_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_206_Corridor,entity:SSC_01-206_Corridor
entity:SSC_01-206_Corridor_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_206_Corridor,entity:SSC_01-206_Corridor
