building,tag,room before,room after,source
HQ,VAV0066,FINANCE AUDIT 1.023,1.023 FINANCE AUDIT,D
HQ,VAV0067,FINANCE AUDIT 1.024,1.024 FINANCE AUDIT,D
HQ,VAV0068,FINANCE STAFF 1.025,1.025 FINANCE PROFSTAFF,D->E
HQ,VAV0069,FINANCE STAFF 1.026,1.026 FINANCE PROFSTAFF,D->E
HQ,VAV0070,FINANCE MANAGER 1.027,1.027 FINANCE AUDITOR,D->E
HQ,VAV0071,FINANCE MANAGER 1.028,1.028 FINANCE MANAGER,D
HQ,VAV0072,FINANCE MANAGER 1.029,1.029 FINANCE MANAGER,D
HQ,VAV0073,FINANCE SECRETARY 1.001,1.001 FINANCE CLERICAL SECRETARIES,D->E
HQ,VAV0074,FINANCE MANAGER 1.002,1.002 FINANCE MANAGER,D
HQ,VAV0075,FINANCE MANAGER 1.003,1.003 FINANCE MANAGER,D
HQ,VAV0076,FINANCE MANAGER 1.004,1.004 FINANCE MANAGER,D
HQ,VAV0077,FINANCE SECRETARY 1.005,1.005 FINANCE SECRETARY,J
HQ,VAV0078,FINANCE STAFF 1.006,1.006 FINANCE PROFSTAFF,D->E
HQ,VAV0079,FINANCE STAFF 1.007,1.007 FINANCE CLERICAL PROFSTAFF,D->E
HQ,VAV0080,GROUND FLOOR VIP ENTRANCE 1.401,1.401 GROUND FLOOR VIP ENTRANCE,D
HQ,VAV0081,GROUND FLOOR VIP ENTRANCE 1.401,1.401 GROUND FLOOR VIP ENTRANCE,D
HQ,VAV0082,GROUND FLOOR VIP ENTRANCE 1.401,1.401 GROUND FLOOR VIP ENTRANCE,D
HQ,VAV0083,STAFF LOUNGE 1.101,1.101 STAFF LOUNGE,D
HQ,VAV0084,STAFF LOUNGE 1.101,1.101 STAFF LOUNGE,D
HQ,VAV0085,STAFF LOUNGE 1.101,1.101 STAFF LOUNGE,D
HQ,VAV0086,STAFF LOUNGE 1.101,1.101 STAFF LOUNGE,D
HQ,VAV0087,FINANCE MEETING ROOM 1.108,1.108 FINANCE MEETING ROOM,D
HQ,VAV0088,CONSULTANT SPACE 1.109,1.109 CONSULTANT SPACE TRAINEES,D->E
HQ,VAV0089,CONSULTANT SPACE 1.109,1.109 CONSULTANT SPACE TRAINEES,J->E
HQ,VAV0090,CONFERENCE ROOM 1.110,G.104 LOBBY,D->E
HQ,VAV0091,PRAYER ROOM 1.105,1.105 PRAYER ROOM,D
HQ,VAV0092,FINANCE CASHIER 1.106,1.106 FINANCE CASHIER,D
HQ,VAV0093,FINANCE ROOM 1.116,1.116 FINANCE SECURE ROOM,D->E
HQ,VAV0094,FINANCE AUDITOR 1.117,1.117 FINANCE AUDITOR,D
HQ,VAV0095,FINANCE AUDITOR 1.115,1.115 FINANCE AUDITOR,D
HQ,VAV0096,STAFF LOUNGE 1.101,1.101 STAFF LOUNGE,J
HQ,VAV0097,CORRIDOR 1.602,1.602 CORRIDOR,D
HQ,VAV0098,CORRIDOR 1.602,1.602 CORRIDOR,D
HQ,VAV0099,SOUTH EAST ZONE,1.601 CORRIDOR,D->E
HQ,VAV0100,FINANCE RECORD STORAGE 1.111,1.111 FINANCE RECORD STORAGE,D
HQ,VAV0101,FOOD HEAT UP 1.702,1.702 FOOD HEAT UP,D
HQ,VAV0102,WASHING AREA 1.706,1.706 WASHING AREA,J
HQ,VAV0103,LOBBY (GROUND FLOOR),G.104 LOBBY,D->E
HQ,VAV0104,LOBBY (GROUND FLOOR),G.104 LOBBY,D->E
HQ,VAV0105,LOBBY (GROUND FLOOR),G.104 LOBBY,D->E
HQ,VAV0106,LOBBY (GROUND FLOOR),G.104 LOBBY,D->E
HQ,VAV0107,STAFF CAFETERIA 1.701,1.701 STAFF CAFETERIA,J
HQ,VAV0108,STAFF CAFETERIA 1.701,1.701 STAFF CAFETERIA,J
HQ,VAV0109,DIRECTOR ENSUIT 2.018,2.018 SUPPSERV DIRECTOR ENSUIT,D->E
HQ,VAV0110,SUPP. SER. ADMIN 2.019,2.019 SUPPSERVADMINIST,D->E
HQ,VAV0111,SUPP. SER. ADMIN 2.020,2.020 SUPPSERVADMINIST,D->E
HQ,VAV0112,SUPP. SER. ADMIN 2.021,2.021 SUPPSERVADMINIST,D->E
HQ,VAV0113,SUPP. SER. SECRETARY 2.022,2.022 SUPP SER SECRETARY,D
HQ,VAV0114,SUPP. SER. ADMIN 2.023,2.023 SUPPSERVADMINIST,D->E
HQ,VAV0115,SUPP. SER. ADMIN 2.024,2.024 SUPPSERVADMINIST,D->E
HQ,VAV0116,SUPP. SER. ADMIN 2.025,2.025 SUPPSERVADMINIST,D->E
HQ,VAV0117,SUPP. SER. SECRETARY 2.026,2.026 SUPP SER SECRETARY,D
HQ,VAV0118,SUPP. SER. ADMIN 2.027,2.027 SUPPSERVADMINIST,D->E
HQ,VAV0119,SUPP. SER. ADMIN 2.028,2.028 SUPPSERVADMINIST,D->E
HQ,VAV0120,SUPP. SER. ADMIN 2.029,2.029 SUPPSERVADMINIST,D->E
HQ,VAV0121,SUPP. SER. SECRETARY 2.030,2.030 SUPP SER SECRETARY,D
HQ,VAV0122,SUPP. SER. ADMIN 2.031,2.031 SUPPSERVADMINIST,D->E
HQ,VAV0123,SUPP. SER. ADMIN 2.032,2.032 SUPPSERVADMINIST,D->E
HQ,VAV0124,SUPP. SER. ADMIN 2.033,2.033 SUPPSERVADMINIST,D->E
HQ,VAV0125,SUPP. SER. SECRETARY 2.034,2.034 SUPP SER SECRETARY,D
HQ,VAV0126,SUPP. SER. ADMIN 2.035,2.035 SUPPSERVADMINIST,D->E
HQ,VAV0127,SUPP. SER. ADMIN 2.036,2.036 SUPPSERVADMINIST,D->E
HQ,VAV0128,OFFICE SPACE 2.110A,2.110A OFFICE SPACE,D
HQ,VAV0129,02.CORIDOR,2.601 S TOWER CORRIDOR,D->E
HQ,VAV0130,02.CORIDOR,2.601 S TOWER CORRIDOR,D->E
HQ,VAV0131,FEMALE PRAYER ROOM 2.109,2.109 SHELL SPACE,D->E
HQ,VAV0132,MEETING ROOM 2.108,2.108 SUPPSERV MEETING ROOM,D->E
HQ,VAV0133,MEETING ROOM 2.108,2.108 SUPPSERV MEETING ROOM,D->E
HQ,VAV0134,LOUNGE 2.105,2.105 LOUNGE,D
HQ,VAV0135,CONSULTANT SPACE 2.104,2.104 CONSULTANTS SPACE OTHERS,D->E
HQ,VAV0136,CONSULTANT SPACE 2.104,2.104 CONSULTANTS SPACE OTHERS,D->E
HQ,VAV0137,CONSULTANT SPACE 2.102,2.102 CONSULTANTS SPACE OTHERS,D->E
HQ,VAV0138,SUPP. SER. SECRETARY 2.017,2.017 SUPP SER SECRETARY,D
HQ,VAV0139,SUPP. SER. ADMIN 2.016,2.016 SUPPSERVADMINIST,D->E
HQ,VAV0140,SUPP. SER. ADMIN 2.015,2.015 SUPPSERVADMINIST,D->E
HQ,VAV0141,SUPP. SER. ADMIN 2.014,2.014 SUPPSERVADMINIST,D->E
HQ,VAV0142,SUPP. SER. SECRETARY 2.013,2.013 SUPP SER SECRETARY,D
HQ,VAV0143,SUPP. SER. ADMIN 2.012,2.012 SUPPSERVADMINIST,D->E
HQ,VAV0144,SUPP. SER. ADMIN 2.011,2.011 SUPPSERVADMINIST,D->E
HQ,VAV0145,SUPP. SER. ADMIN 2.010,2.010 SUPPSERVADMINIST,D->E
HQ,VAV0146,SUPP. SER. SECRETARY 2.009,2.009 SUPP SER SECRETARY,D
HQ,VAV0147,DEBATE EXECUTIVE 2.008,2.008 DOHA DEBATE EXECUTIVE,D->E
HQ,VAV0148,DEBATE EXECUTIVE 2.007,2.007 DOHA DEBATE EXECUTIVE,D->E
HQ,VAV0149,DEBATE EXECUTIVE 2.006,2.006 DOHA DEBATE EXECUTIVE,D->E
HQ,VAV0150,DEBATE EXECUTIVE 2.005,2.005 DOHA DEBATE EXECUTIVE,D->E
HQ,VAV0151,DEBATE SECRETARY 2.004,2.004 DOHA DEBATE SECRETARY,D->E
HQ,VAV0152,DEBATE EXECUTIVE 2.003,2.003 DOHA DEBATE EXECUTIVE,D->E
HQ,VAV0153,DEBATE EXECUTIVE 2.002,2.002 DOHA DEBATE EXECUTIVE,D->E
HQ,VAV0154,STORAGE ROOM 2.001,2.001 STORAGE ROOM,D
HQ,VAV0155,OFFICE SPACE 2.101A,2.101A OFFICE SPACE,D
HQ,VAV0156,02.CORIDOR,2.601 S TOWER CORRIDOR,D->E
HQ,VAV0157,HR IMMIG STAFF 3.017,3.017 HR IMMIG STAFF,D
HQ,VAV0158,HR IMMIG STAFF 3.018,3.018 HR IMMIG STAFF,D
HQ,VAV0159,HR IMMIG STAFF 3.019,3.019 HR IMMIG STAFF,D
HQ,VAV0160,HR IMMIG STAFF 3.020,3.020 HR IMMIG STAFF,D
HQ,VAV0161,HR IMMIG STAFF 3.021,3.021 HR IMMIG STAFF,D
HQ,VAV0162,HR IMMIG STAFF 3.022,3.022 HR IMMIG SECRETARY,D->E
HQ,VAV0163,HR IMMIG STAFF 3.023,3.023 HR IMMIG STAFF,D
HQ,VAV0164,HR IMMIG STAFF 3.024,3.024 HR IMMIG STAFF,D
HQ,VAV0165,HR IMMIG STAFF 3.025,3.025 HR IMMIG STAFF,D
HQ,VAV0166,HR IMMIG STAFF 3.026,3.026 HR IMMIG STAFF,D
HQ,VAV0167,HR IMMIG STAFF 3.027,3.027 HR IMMIG STAFF,D
HQ,VAV0168,HR IMMIG STAFF 3.028,3.028 HR IMMIG STAFF,D
HQ,VAV0169,HR IMMIG STAFF 3.029,3.029 HR IMMIG STAFF,D
HQ,VAV0170,HR IMMIG STAFF 3.030,3.030 HR IMMIG STAFF,D
HQ,VAV0171,HR IMMIG STAFF 3.031,3.031 HR IMMIG STAFF,D
HQ,VAV0172,HR IMMIG STAFF 3.032,3.032 HR IMMIG SECRETARY,D->E
HQ,VAV0173,MEETING ROOM 3.033,3.033 MEETING ROOM,J
HQ,VAV0174,MEETING ROOM 3.033,3.033 MEETING ROOM,J
HQ,VAV0175,OFFICE SPACE 3.105B,3.105B OFFICE SPACE,D
HQ,VAV0176,03.CORIDOR,3.601 S TOWER CORRIDOR,D->E
HQ,VAV0177,ABLUTION ROOM 3.36,3.360 ABLUTION ROOM,D
