row,building,tag,room before,room after,chosen from,kind of change
202,HQ,VAV0042,PR& MARKET DIRECTOR ENSUIT G.028,G.028 PR AND MARKET DIRECTOR ENSUIT,D,"same room, name reordered"
203,HQ,VAV0043,FINANCE CASHIER G.026,G.026 FINANCE CASHIER,D,"same room, name reordered"
204,HQ,VAV0044,VIP LOUNGE G.025,G.025 VIP LOUNGE,D,"same room, name reordered"
205,HQ,VAV0045,E-TOWER LOBBY G.107,G.107 E TOWER LOBBY,J,"same room, name reordered"
206,HQ,VAV0046,CORRIDOR (SOUTH EAST) G.602,G.602 CORRIDOR SOUTH EAST,D,"same room, name reordered"
207,HQ,VAV0047,CORRIDOR (SOUTH EAST) G.603,G.603 CORRIDOR SOUTH EAST,D,"same room, name reordered"
208,HQ,VAV0048,CONFERENCE ROOM G.101,G.101 CONFERENCE ROOM,D,"same room, name reordered"
209,HQ,VAV0049,CONFERENCE ROOM G.101,G.101 CONFERENCE ROOM,D,"same room, name reordered"
210,HQ,VAV0050,CONFERENCE ROOM G.101,G.101 CONFERENCE ROOM,J,"same room, name reordered"
211,HQ,VAV0051,CONFERENCE ROOM G.101,G.101 CONFERENCE ROOM,J,"same room, name reordered"
212,HQ,VAV0052,SOFT PLAY & CREATIVE LEARNING G.108,G.108 CONSULTANT SPACE TRAINEES,D->E,"same room, name reordered"
213,HQ,VAV0053,SOFT PLAY & CREATIVE LEARNING G.108,G.108 CONSULTANT SPACE TRAINEES,J->E,"same room, name reordered"
214,HQ,VAV0054,FINANCE MANAGER 1.011,1.011 FINANCE MANAGER,D,"same room, name reordered"
215,HQ,VAV0055,FINANCE MANAGER 1.012,1.012 FINANCE MANAGER,D,"same room, name reordered"
216,HQ,VAV0056,FINANCE MANAGER 1.013,1.013 FINANCE MANAGER,D,"same room, name reordered"
217,HQ,VAV0057,FINANCE STAFF 1.014,1.014 FINANCE PROFSTAFF,D->E,"same room, name reordered"
218,HQ,VAV0058,FINANCE STAFF 1.015,1.015 FINANCE PROFSTAFF,D->E,"same room, name reordered"
