family,kind,part,point,units,of,example_tag,historian_description,unit_of_measure,signal,match_phrase,match_phrase_source,point_kind,part_device,part_class_darcairo,part_class_score,part_class_from,part_status,darcairo_class,darcairo_score,darcairo_uses,darcairo_evidence,runner_up,runner_up_score,darcairo_class_in_brick,brick_candidate,brick_candidate_status,brick_candidate_score,proposed_class,proposed_from,status
AHUB,part+point,RtnFan1,kW,1,15,QNL_AHUB001_RtnFan1.kW,Power,kW,analog,electric power,expanded from the tag,Sensor,fan,brick:Return_Fan,1.00,Brick 1.4 exact,ok,brick:Electric_Power_Sensor,0.67,713,class name,brick:Thermal_Power_Sensor,0.25,OK,brick:Electric_Power_Sensor,OK,0.40,brick:Electric_Power_Sensor,Dar Cairo,auto
AHUB,part+point,RtnFan2,AutoManCmd,1,15,QNL_AHUB001_RtnFan2.AutoManCmd,Auto/Manual Command,,discrete,Auto/Manual Command,historian description,Command,fan,brick:Return_Fan,1.00,Brick 1.4 exact,ok,brick:On_Off_Command,0.33,68,class name,brick:On_Command,0.33,OK,brick:Fan_Command,OK,0.40,,,needs-you: confirm the Dar Cairo candidate
AHUB,part+point,RtnFan2,SpeedFbk,1,15,QNL_AHUB001_RtnFan2.SpeedFbk,Speed Feedback,%,analog,Speed Feedback,historian description,Sensor,fan,brick:Return_Fan,1.00,Brick 1.4 exact,ok,para:Over_Speed_Sensor,0.25,1,class name,para:Engine_Speed_Sensor,0.25,not in Brick 1.4,brick:Speed_Sensor,OK,0.20,,,needs-you: confirm the Dar Cairo candidate
AHUB,part+point,RtnFan2,TripAlm,1,15,QNL_AHUB001_RtnFan2.TripAlm,Trip Alarm,,discrete,Trip Alarm,historian description,Alarm,fan,brick:Return_Fan,1.00,Brick 1.4 exact,ok,brick:Alarm,0.50,33,class name,brick:Fire_Alarm,0.33,OK,brick:Return_Air_Temperature_Alarm,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,part+point,RtnFan2,kW,1,15,QNL_AHUB001_RtnFan2.kW,Power,kW,analog,electric power,expanded from the tag,Sensor,fan,brick:Return_Fan,1.00,Brick 1.4 exact,ok,brick:Electric_Power_Sensor,0.67,713,class name,brick:Thermal_Power_Sensor,0.25,OK,brick:Electric_Power_Sensor,OK,0.40,brick:Electric_Power_Sensor,Dar Cairo,auto
AHUB,point,SpcHumd,PV,1,15,QNL_AHUB007_SpcHumd.PV,Process Value,%rH,analog,space humidity,expanded from the tag,Sensor,,,,,,brick:Relative_Humidity_Sensor,0.25,110,class name,brick:Return_Air_Humidity_Sensor,0.20,OK,brick:Humidity_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,SpcHumd08,PV,1,15,QNL_AHUB006_SpcHumd08.PV,Process Value,%rH,analog,space humidity,expanded from the tag,Sensor,,,,,,brick:Relative_Humidity_Sensor,0.25,110,class name,brick:Return_Air_Humidity_Sensor,0.20,OK,brick:Humidity_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,SpcHumd09,PV,1,15,QNL_AHUB006_SpcHumd09.PV,Process Value,%rH,analog,space humidity,expanded from the tag,Sensor,,,,,,brick:Relative_Humidity_Sensor,0.25,110,class name,brick:Return_Air_Humidity_Sensor,0.20,OK,brick:Humidity_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,SpcHumd10,PV,1,15,QNL_AHUB006_SpcHumd10.PV,Process Value,%rH,analog,space humidity,expanded from the tag,Sensor,,,,,,brick:Relative_Humidity_Sensor,0.25,110,class name,brick:Return_Air_Humidity_Sensor,0.20,OK,brick:Humidity_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,SpcHumd11,PV,1,15,QNL_AHUB006_SpcHumd11.PV,Process Value,%rH,analog,space humidity,expanded from the tag,Sensor,,,,,,brick:Relative_Humidity_Sensor,0.25,110,class name,brick:Return_Air_Humidity_Sensor,0.20,OK,brick:Humidity_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,SpcTemp,PV,1,15,QNL_AHUB007_SpcTemp.PV,Process Value,°C,analog,space temperature,expanded from the tag,Sensor,,,,,,brick:Temperature_Sensor,0.33,110,class name,para:UPS_Temperature_Sensor,0.25,OK,brick:Temperature_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,SpcTemp07,PV,1,15,QNL_AHUB002_SpcTemp07.PV,Process Value,°C,analog,space temperature,expanded from the tag,Sensor,,,,,,brick:Temperature_Sensor,0.33,110,class name,para:UPS_Temperature_Sensor,0.25,OK,brick:Temperature_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
