subject,subjectType,predicate,object,objectType,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val
entity:QNL_B_047_REST_ROOM_WOMEN,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.047 REST ROOM WOMEN,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_048_QTEL_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.048 QTEL ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_049_MEP_KITCHEN,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.049 MEP KITCHEN,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_04B_ST-04B,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.04B ST-04B,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_050_TELECOM_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.050 TELECOM ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_051_STORAGE,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.051 STORAGE,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_053_CORRIDORS,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.053 CORRIDORS,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_054_PATIO_GARDEN,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.054 PATIO GARDEN,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_057_DIG_OFFICE_DIG_INIT,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.057 DIG OFFICE DIG INIT,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_057_AD_OFFICE_AD_FOR_LIT,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.057 AD OFFICE AD FOR LIT,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_058_SHELL_SPACE,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.058 SHELL SPACE,,,,,,,,,,,,,,,,,,,,
