old_identifier,new_identifier,kind
entity:QNL_AHU_B_002_SupFan_FTST,entity:QNL_AHU-B-002_Supply-Fan-Fail-To-Start-Alarm,point
entity:QNL_AHU_B_002_SupFan_SpeedFbk,entity:QNL_AHU-B-002_Supply-Fan-Speed-Feedback,point
entity:QNL_AHU_B_002_SupFan_TripAlm,entity:QNL_AHU-B-002_Supply-Fan-Trip-Alarm,point
entity:QNL_AHU_B_002_SupFan_kW,entity:QNL_AHU-B-002_Supply-Fan-Electric-Power,point
entity:QNL_AHU_B_002_SupFan_kWH,entity:QNL_AHU-B-002_Supply-Fan-Electrical-Energy,point
entity:QNL_AHU_B_003,entity:QNL_AHU-B-003,equipment
entity:QNL_AHU_B_003_AvgSpcHumd_PV,entity:QNL_AHU-B-003_Average-Space-Humidity,point
entity:QNL_AHU_B_003_AvgSpcTemp_PV,entity:QNL_AHU-B-003_Average-Space-Temperature,point
entity:QNL_AHU_B_003_CHW-Coil,entity:QNL_AHU-B-003_CHW-Coil,part
entity:QNL_AHU_B_003_CHWRtnTemp_PV,entity:QNL_AHU-B-003_Chilled-Water-Return-Temperature,point
entity:QNL_AHU_B_003_CHWSupTemp_PV,entity:QNL_AHU-B-003_Chilled-Water-Supply-Temperature,point
entity:QNL_AHU_B_003_CoolVlv_PosFbk,entity:QNL_AHU-B-003_Cooling-Valve-Position-Feedback,point
entity:QNL_AHU_B_003_Electric-Coil,entity:QNL_AHU-B-003_Electric-Coil,part
entity:QNL_AHU_B_003_EnableDisableCmd,entity:QNL_AHU-B-003_Enable-Disable-Command,point
entity:QNL_AHU_B_003_FrshAirTemp_PV,entity:QNL_AHU-B-003_Fresh-Air-Temperature,point
entity:QNL_AHU_B_003_MixAirTemp_PV,entity:QNL_AHU-B-003_Mixed-Air-Temperature,point
entity:QNL_AHU_B_003_RtnAirDuctPrs_PV,entity:QNL_AHU-B-003_Return-Air-Duct-Pressure,point
entity:QNL_AHU_B_003_RtnAirHumd_PV,entity:QNL_AHU-B-003_Return-Air-Humidity,point
entity:QNL_AHU_B_003_RtnAirTemp_PV,entity:QNL_AHU-B-003_Return-Air-Temperature,point
entity:QNL_AHU_B_003_RtnHumiditySP,entity:QNL_AHU-B-003_Return-Air-Humidity-Setpoint,point
entity:QNL_AHU_B_003_SF,entity:QNL_AHU-B-003_SF,part
entity:QNL_AHU_B_003_SF_Motor,entity:QNL_AHU-B-003_SF-Motor,part
entity:QNL_AHU_B_003_SpcHumd01_PV,entity:QNL_AHU-B-003_Space-Humidity-1,point
entity:QNL_AHU_B_003_SpcHumd02_PV,entity:QNL_AHU-B-003_Space-Humidity-2,point
entity:QNL_AHU_B_003_SpcHumd03_PV,entity:QNL_AHU-B-003_Space-Humidity-3,point
entity:QNL_AHU_B_003_SpcHumd04_PV,entity:QNL_AHU-B-003_Space-Humidity-4,point
entity:QNL_AHU_B_003_SpcHumd05_PV,entity:QNL_AHU-B-003_Space-Humidity-5,point
