kind,source_identifier,ontology_identifier,rdfs:label_en
room,entity:QNL_B044_FIN_FINE_BINDING,entity:QNL_B_044_FIN_FINE_BINDING,B.044_FIN_FINE_BINDING
room,entity:QNL_B046_RES_REST_ROOM_MEN,entity:QNL_B_046_RES_REST_ROOM_MEN,B.046_RES_REST_ROOM_MEN
room,entity:QNL_B046_ITT_ITTIGATION_CONTROL_ROOM,entity:QNL_B_046_ITT_ITTIGATION_CONTROL_ROOM,B.046_ITT_ITTIGATION_CONTROL_ROOM
room,entity:QNL_B_047_REST_ROOM_WOMEN,entity:QNL_B_047_REST_ROOM_WOMEN,B.047_REST_ROOM_WOMEN
room,entity:QNL_B_048_QTEL_ROOM,entity:QNL_B_048_QTEL_ROOM,B.048_QTEL_ROOM
room,entity:QNL_B_049_MEP_KITCHEN,entity:QNL_B_049_MEP_KITCHEN,B.049_MEP_KITCHEN
room,entity:QNL_B-04B_ST-04B,entity:QNL_B_04B_ST-04B,B.04B_ST-04B
room,entity:QNL_B_050_TELECOM_ROOM,entity:QNL_B_050_TELECOM_ROOM,B.050_TELECOM_ROOM
room,entity:QNL_B_051_STORAGE,entity:QNL_B_051_STORAGE,B.051_STORAGE
room,entity:QNL_B_053_CORRIDORS,entity:QNL_B_053_CORRIDORS,B.053_CORRIDORS
room,entity:QNL_B_054_PATIO_GARDEN,entity:QNL_B_054_PATIO_GARDEN,B.054_PATIO_GARDEN
room,entity:QNL_B057_DIG_OFFICE_DIG_INIT,entity:QNL_B_057_DIG_OFFICE_DIG_INIT,B.057_DIG_OFFICE_DIG_INIT
room,entity:QNL_B057_AD_OFFICE_AD_FOR_LIT,entity:QNL_B_057_AD_OFFICE_AD_FOR_LIT,B.057_AD_OFFICE_AD_FOR_LIT
room,entity:QNL_B_058_SHELL_SPACE,entity:QNL_B_058_SHELL_SPACE,B.058_SHELL_SPACE
room,entity:QNL_B_060_MAINTENANCE,entity:QNL_B_060_MAINTENANCE,B.060_MAINTENANCE
room,entity:QNL_B_062_IDF_CORRIDOR,entity:QNL_B_062_IDF_CORRIDOR,B.062_IDF_CORRIDOR
room,entity:QNL_B_063_PLANT_ROOM_01,entity:QNL_B_063_PLANT_ROOM_01,B.063_PLANT_ROOM_01
room,entity:QNL_B_065_VENTLATON,entity:QNL_B_065_VENTLATON,B.065_VENTLATON
room,entity:QNL_B_066_CORRIDOR,entity:QNL_B_066_CORRIDOR,B.066_CORRIDOR
room,entity:QNL_B_067_VENTLATON,entity:QNL_B_067_VENTLATON,B.067_VENTLATON
room,entity:QNL_B_068_CORRIDOR,entity:QNL_B_068_CORRIDOR,B.068_CORRIDOR
room,entity:QNL_B_070_PLANT_ROOM_02,entity:QNL_B_070_PLANT_ROOM_02,B.070_PLANT_ROOM_02
room,entity:QNL_B_071_FIRE_COMMAND_ROOM,entity:QNL_B_071_FIRE_COMMAND_ROOM,B.071_FIRE_COMMAND_ROOM
room,entity:QNL_B_072_SPRIMKLERS_PUMPS_&_ZONES_VALVES,entity:QNL_B_072_SPRIMKLERS_PUMPS_&_ZONES_VALVES,B.072_SPRIMKLERS_PUMPS_&_ZONES_VALVES
room,entity:QNL_B_080_GENERATOR,entity:QNL_B_080_GENERATOR,B.080_GENERATOR
room,entity:QNL_B_081_MV_ROOM,entity:QNL_B_081_MV_ROOM,B.081_MV_ROOM
room,entity:QNL_B_082_TRANSFORMER_ROOM,entity:QNL_B_082_TRANSFORMER_ROOM,B.082_TRANSFORMER_ROOM
room,entity:QNL_B_084_UPS_BATTERY_ROOM,entity:QNL_B_084_UPS_BATTERY_ROOM,B.084_UPS_BATTERY_ROOM
room,entity:QNL_B_085_FUMIGATION_ROOM,entity:QNL_B_085_FUMIGATION_ROOM,B.085_FUMIGATION_ROOM
room,entity:QNL_B_086_FREEZE_AREA,entity:QNL_B_086_FREEZE_AREA,B.086_FREEZE_AREA
room,entity:QNL_B_087_GAS_SUPPRESSION_ROOM,entity:QNL_B_087_GAS_SUPPRESSION_ROOM,B.087_GAS_SUPPRESSION_ROOM
room,entity:QNL_B_088_PEOPLE_MOVER_PLANT,entity:QNL_B_088_PEOPLE_MOVER_PLANT,B.088_PEOPLE_MOVER_PLANT
room,entity:QNL_B_089_SERVER_ROOM,entity:QNL_B_089_SERVER_ROOM,B.089_SERVER_ROOM
room,entity:QNL_B_091_FUEL_ROOM,entity:QNL_B_091_FUEL_ROOM,B.091_FUEL_ROOM
room,entity:QNL_B_092_STORAGE,entity:QNL_B_092_STORAGE,B.092_STORAGE
room,entity:QNL_B_0924_FUEL_TANK_CHERRY_PICKER_PANKING,entity:QNL_B_0924_FUEL_TANK_CHERRY_PICKER_PANKING,B.0924_FUEL_TANK_CHERRY_PICKER_PANKING
room,entity:QNL_B_093_TRANSH_CHAMBER,entity:QNL_B_093_TRANSH_CHAMBER,B.093_TRANSH_CHAMBER
room,entity:QNL_B_095_EMERGENCY_LIGHTING_BATTERY_ROOM,entity:QNL_B_095_EMERGENCY_LIGHTING_BATTERY_ROOM,B.095_EMERGENCY_LIGHTING_BATTERY_ROOM
room,entity:QNL_B_100_LOADING_DOCK,entity:QNL_B_100_LOADING_DOCK,B.100_LOADING_DOCK
room,entity:QNL_B_101_SHIPPING_CLERK,entity:QNL_B_101_SHIPPING_CLERK,B.101_SHIPPING_CLERK
room,entity:QNL_B_102_SECURITY_&_BMS,entity:QNL_B_102_SECURITY_&_BMS,B.102_SECURITY_&_BMS
room,entity:QNL_B_103_PROCESSING_ROOM,entity:QNL_B_103_PROCESSING_ROOM,B.103_PROCESSING_ROOM
room,entity:QNL_B_104_STORAGE,entity:QNL_B_104_STORAGE,B.104_STORAGE
room,entity:QNL_B106_RES_REST_ROOM_SECURITY,entity:QNL_B_106_RES_REST_ROOM_SECURITY,B.106_RES_REST_ROOM_SECURITY
room,entity:QNL_B106_SEC_SECURITY_STORES_SECURITY_UPS,entity:QNL_B_106_SEC_SECURITY_STORES_SECURITY_UPS,B.106_SEC_SECURITY_STORES_SECURITY_UPS
room,entity:QNL_B_107_SECURITY_EQUIPMENT_ROOM,entity:QNL_B_107_SECURITY_EQUIPMENT_ROOM,B.107_SECURITY_EQUIPMENT_ROOM
room,entity:QNL_B_108_TOILET,entity:QNL_B_108_TOILET,B.108_TOILET
room,entity:QNL_B_109_LOADING_AREA,entity:QNL_B_109_LOADING_AREA,B.109_LOADING_AREA
room,entity:QNL_B_110_PLANT_ROOM_03,entity:QNL_B_110_PLANT_ROOM_03,B.110_PLANT_ROOM_03
room,entity:QNL_B_111_STORAGE,entity:QNL_B_111_STORAGE,B.111_STORAGE
room,entity:QNL_B_112_CORRIDOR,entity:QNL_B_112_CORRIDOR,B.112_CORRIDOR
room,entity:QNL_B_113_MAINTENANCE,entity:QNL_B_113_MAINTENANCE,B.113_MAINTENANCE
room,entity:QNL_B_114_VENTLATON,entity:QNL_B_114_VENTLATON,B.114_VENTLATON
room,entity:QNL_B_115_CORRIDOR,entity:QNL_B_115_CORRIDOR,B.115_CORRIDOR
room,entity:QNL_B_116_VENTLATON,entity:QNL_B_116_VENTLATON,B.116_VENTLATON
