point_entity,timeseries_id,reason
entity:QNL_TEF-B01B_Trip-Count,QNL_TEF_B01B.TripCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01_Changeover-Hours-Setpoint,QNL_TEF_B01.ChOverHrsSP,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01_Duty-Priority-1,QNL_TEF_B01.Priority1,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01_Duty-Priority-2,QNL_TEF_B01.Priority2,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01_Enable-Command,QNL_TEF_B01.EnableDisableCmd,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01_Fire-Alarm,QNL_TEF_B01.FireAlm,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01_Lead-Lag-Command,QNL_TEF_B01.ChOverSel,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01_Occupancy-Status,QNL_TEF_B01.OccSchedule,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01_Remote-Status,QNL_TEF_B01.RemSts,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01_Reset-Command,QNL_TEF_B01.ResetCmd,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01_Run-Time,QNL_TEF_B01.RuntimeMtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01_Start-Count,QNL_TEF_B01.StartsCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B01_Trip-Count,QNL_TEF_B01.TripCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02A_Fail-Start-Alarm,QNL_TEF_B02A.FTST,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02A_Fail-Stop-Alarm,QNL_TEF_B02A.FTSP,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02A_Fault-Reset-Command,QNL_TEF_B02A.FltRst,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02A_Run-Time,QNL_TEF_B02A.RuntimeMtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02A_Start-Count,QNL_TEF_B02A.StartsCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02A_Trip-Count,QNL_TEF_B02A.TripCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02B_Fail-Start-Alarm,QNL_TEF_B02B.FTST,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02B_Fail-Stop-Alarm,QNL_TEF_B02B.FTSP,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02B_Fault-Reset-Command,QNL_TEF_B02B.FltRst,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02B_Run-Time,QNL_TEF_B02B.RuntimeMtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02B_Start-Count,QNL_TEF_B02B.StartsCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02B_Trip-Count,QNL_TEF_B02B.TripCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02_Changeover-Hours-Setpoint,QNL_TEF_B02.ChOverHrsSP,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02_Duty-Priority-1,QNL_TEF_B02.Priority1,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02_Duty-Priority-2,QNL_TEF_B02.Priority2,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02_Enable-Command,QNL_TEF_B02.EnableDisableCmd,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02_Fire-Alarm,QNL_TEF_B02.FireAlm,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02_Lead-Lag-Command,QNL_TEF_B02.ChOverSel,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02_Occupancy-Status,QNL_TEF_B02.OccSchedule,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02_Remote-Status,QNL_TEF_B02.RemSts,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02_Reset-Command,QNL_TEF_B02.ResetCmd,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02_Run-Time,QNL_TEF_B02.RuntimeMtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02_Start-Count,QNL_TEF_B02.StartsCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B02_Trip-Count,QNL_TEF_B02.TripCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03A_Fail-Start-Alarm,QNL_TEF_B03A.FTST,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03A_Fail-Stop-Alarm,QNL_TEF_B03A.FTSP,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03A_Fault-Reset-Command,QNL_TEF_B03A.FltRst,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03A_Run-Time,QNL_TEF_B03A.RuntimeMtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03A_Start-Count,QNL_TEF_B03A.StartsCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03A_Trip-Count,QNL_TEF_B03A.TripCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03B_Fail-Start-Alarm,QNL_TEF_B03B.FTST,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03B_Fail-Stop-Alarm,QNL_TEF_B03B.FTSP,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03B_Fault-Reset-Command,QNL_TEF_B03B.FltRst,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03B_Run-Time,QNL_TEF_B03B.RuntimeMtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03B_Start-Count,QNL_TEF_B03B.StartsCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03B_Trip-Count,QNL_TEF_B03B.TripCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03_Changeover-Hours-Setpoint,QNL_TEF_B03.ChOverHrsSP,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03_Duty-Priority-1,QNL_TEF_B03.Priority1,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03_Duty-Priority-2,QNL_TEF_B03.Priority2,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03_Enable-Command,QNL_TEF_B03.EnableDisableCmd,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03_Fire-Alarm,QNL_TEF_B03.FireAlm,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03_Lead-Lag-Command,QNL_TEF_B03.ChOverSel,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03_Occupancy-Status,QNL_TEF_B03.OccSchedule,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03_Remote-Status,QNL_TEF_B03.RemSts,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03_Reset-Command,QNL_TEF_B03.ResetCmd,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03_Run-Time,QNL_TEF_B03.RuntimeMtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03_Start-Count,QNL_TEF_B03.StartsCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-B03_Trip-Count,QNL_TEF_B03.TripCtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_VAV-1F-S15-039S_Damper-Position,QNL_VAV_1F_S15_039S.DmprPos,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_VAV-1F-S15-039S_Duct-Air-Flow,QNL_VAV_1F_S15_039S.DuctAirFlow,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_VAV-1F-S15-039S_Effective-Temperature-Setpoint,QNL_VAV_1F_S15_039S.EffectiveSP,not on Selected_PARA_OS_Data_Points_v4.0
